service_name,service_url,Topic,Subtopic
Canada. Members of Parliament,https://211ontario.ca/service/69804033/canada-members-of-parliament-canada-members-of-parliament/?searchLocation=Toronto&topicPath=86&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Government / Legal,Elected officials
Canada. Members of Parliament,https://211ontario.ca/service/69804040/canada-members-of-parliament-canada-members-of-parliament/?searchLocation=Toronto&topicPath=86&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Government / Legal,Elected officials
Canada. Members of Parliament,https://211ontario.ca/service/69804025/canada-members-of-parliament-canada-members-of-parliament/?searchLocation=Toronto&topicPath=86&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Government / Legal,Elected officials
Canada. House of Commons,https://211ontario.ca/service/68976149/canada-house-of-commons-canada-house-of-commons/?searchLocation=Toronto&topicPath=86&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Government / Legal,Elected officials
Ontario Human Rights Commission,https://211ontario.ca/service/69796244/ontario-human-rights-commission-ontario-human-rights-commission/?searchLocation=Toronto&topicPath=87&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,Human rights
Women's Legal Education and Action Fund,https://211ontario.ca/service/69798071/womens-legal-education-and-action-fund-womens-legal-education-and-action-fund/?searchLocation=Toronto&topicPath=87&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,Human rights
Black Legal Action Centre,https://211ontario.ca/service/69799347/black-legal-action-centre-black-legal-action-centre/?searchLocation=Toronto&topicPath=87&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,Human rights
Human Rights Legal Support Centre,https://211ontario.ca/service/71449153/human-rights-legal-support-centre-human-rights-legal-support-centre/?searchLocation=Toronto&topicPath=87&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,Human rights
Chinese and Southeast Asian Legal Clinic,https://211ontario.ca/service/69795794/chinese-and-southeast-asian-legal-clinic-chinese-and-southeast-asian-legal-clinic/?searchLocation=Toronto&topicPath=87&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,Human rights
Canadian Centre for Victims of Torture,https://211ontario.ca/service/69794457/canadian-centre-for-victims-of-torture-counselling-and-support-services-downtown-main-office/?searchLocation=Toronto&topicPath=87&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,Human rights
Human Rights Tribunal of Ontario,https://211ontario.ca/service/71449149/human-rights-tribunal-of-ontario-human-rights-tribunal-of-ontario/?searchLocation=Toronto&topicPath=87&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,Human rights
Canadian Civil Liberties Association,https://211ontario.ca/service/69794467/canadian-civil-liberties-association-canadian-civil-liberties-association/?searchLocation=Toronto&topicPath=87&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,Human rights
Connexions,https://211ontario.ca/service/69794830/connexions-archive-and-library/?searchLocation=Toronto&topicPath=87&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,Human rights
Canadian Centre for Victims of Torture,https://211ontario.ca/service/69794454/canadian-centre-for-victims-of-torture-counselling-and-support-services-scarborough-office/?searchLocation=Toronto&topicPath=87&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,Human rights
"Chinese Canadian National Council, Toronto Chapter",https://211ontario.ca/service/69800171/chinese-canadian-national-council-toronto-chapter-chinese-canadian-national-council-toronto-chapter/?searchLocation=Toronto&topicPath=87&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,Human rights
"Canadian Red Cross, Toronto Branch",https://211ontario.ca/service/69794556/canadian-red-cross-toronto-branch-canadian-red-cross-toronto-branch/?searchLocation=Toronto&topicPath=87&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,Human rights
Canadian Centre for Victims of Torture,https://211ontario.ca/service/69794463/canadian-centre-for-victims-of-torture-counselling-and-support-services-mississauga-office/?searchLocation=Toronto&topicPath=87&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,Human rights
Canadian Human Rights Commission,https://211ontario.ca/service/68967884/canadian-human-rights-commission-canada-canadian-human-rights-commission/?searchLocation=Toronto&topicPath=87&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,Human rights
Canadian Human Rights Commission,https://211ontario.ca/service/89812858/canadian-human-rights-commission-canadian-human-rights-complaints/?searchLocation=Toronto&topicPath=87&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,Human rights
Canadian Human Rights Commission,https://211ontario.ca/service/89832685/canadian-human-rights-commission-accessible-canada-act/?searchLocation=Toronto&topicPath=87&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,Human rights
Cuso International,https://211ontario.ca/service/68972674/cuso-international-cuso-international/?searchLocation=Toronto&topicPath=87&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,Human rights
Association of French Speaking Jurists of Ontario,https://211ontario.ca/service/68969472/association-of-french-speaking-jurists-of-ontario-association-of-french-speaking-jurists-of-ontario/?searchLocation=Toronto&topicPath=87&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,Human rights
Canada. Office of the Information Commissioner of Canada,https://211ontario.ca/service/68969392/canada-office-of-the-information-commissioner-of-canada-canada-office-of-the-information-commissioner-of-canada/?searchLocation=Toronto&topicPath=87&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,Human rights
Canada. Office of the Privacy Commissioner of Canada,https://211ontario.ca/service/68969476/canada-office-of-the-privacy-commissioner-of-canada-canada-office-of-the-privacy-commissioner-of-canada/?searchLocation=Toronto&topicPath=87&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,Human rights
Child Haven International,https://211ontario.ca/service/68957162/child-haven-international-child-haven-international/?searchLocation=Toronto&topicPath=87&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,Human rights
Amnesty International,https://211ontario.ca/service/61592190/amnesty-international-find-an-amnesty-international-group/?searchLocation=Toronto&topicPath=87&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,Human rights
Canada. Social Insurance Numbers,https://211ontario.ca/service/69798656/canada-social-insurance-numbers-canada-social-insurance-numbers/?searchLocation=Toronto&topicPath=88&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,ID (identification)
"Canada. Immigration, Refugees and Citizenship Canada",https://211ontario.ca/service/69799272/canada-immigration-refugees-and-citizenship-canada-passport-office-victoria-street-branch/?searchLocation=Toronto&topicPath=88&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,ID (identification)
Service Canada,https://211ontario.ca/service/89162765/service-canada-service-canada-toronto-centre/?searchLocation=Toronto&topicPath=88&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,ID (identification)
Canada. Indigenous Services Canada,https://211ontario.ca/service/69794318/canada-indigenous-services-canada-canada-indigenous-services-canada/?searchLocation=Toronto&topicPath=88&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,ID (identification)
ServiceOntario,https://211ontario.ca/service/70089709/serviceontario-serviceontario-downtown-service-counter/?searchLocation=Toronto&topicPath=88&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,ID (identification)
Covenant House Toronto,https://211ontario.ca/service/69794938/covenant-house-toronto-community-support-and-health-care-services/?searchLocation=Toronto&topicPath=88&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,ID (identification)
Haven Toronto,https://211ontario.ca/service/69795235/haven-toronto-haven-toronto/?searchLocation=Toronto&topicPath=88&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,ID (identification)
"Salvation Army, Immigrant and Refugee Services",https://211ontario.ca/service/69800132/salvation-army-immigrant-and-refugee-services-main-office/?searchLocation=Toronto&topicPath=88&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,ID (identification)
ServiceOntario,https://211ontario.ca/service/71294749/serviceontario-serviceontario/?searchLocation=Toronto&topicPath=88&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,ID (identification)
ServiceOntario,https://211ontario.ca/service/70089715/serviceontario-serviceontario-college-park-service-counter/?searchLocation=Toronto&topicPath=88&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,ID (identification)
Fred Victor,https://211ontario.ca/service/76016696/fred-victor-open-house-drop-in-and-support-services/?searchLocation=Toronto&topicPath=88&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,ID (identification)
"Toronto. Shelter, Support and Housing Services. Homelessness Initiatives and Prevention Services",https://211ontario.ca/service/72506360/toronto-shelter-support-and-housing-services-homelessness-initiatives-and-prevention-services-toronto-streets-to-homes-assessment-and-referral-centre-sharc-housing-assistance-and-emergency-shelter-referral/?searchLocation=Toronto&topicPath=88&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,ID (identification)
"Salvation Army, Greater Toronto Housing and Homelessness Supports",https://211ontario.ca/service/75896469/salvation-army-greater-toronto-housing-and-homelessness-supports-maxwell-meighen-centre/?searchLocation=Toronto&topicPath=88&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,ID (identification)
Street Health Community Nursing Foundation,https://211ontario.ca/service/69798456/street-health-community-nursing-foundation-street-health-community-nursing-foundation/?searchLocation=Toronto&topicPath=88&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,ID (identification)
Yonge Street Mission,https://211ontario.ca/service/69798288/yonge-street-mission-evergreen-health-centre/?searchLocation=Toronto&topicPath=88&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,ID (identification)
Yonge Street Mission,https://211ontario.ca/service/70895941/yonge-street-mission-evergreen-centre-drop-in-program/?searchLocation=Toronto&topicPath=88&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,ID (identification)
"Canada. Immigration, Refugees and Citizenship Canada",https://211ontario.ca/service/69799275/canada-immigration-refugees-and-citizenship-canada-passport-office-north-york-branch/?searchLocation=Toronto&topicPath=88&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,ID (identification)
ServiceOntario,https://211ontario.ca/service/69805682/serviceontario-provincial-government-services-serviceontario/?searchLocation=Toronto&topicPath=88&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,ID (identification)
LOFT Community Services,https://211ontario.ca/service/69801542/loft-community-services-416-community-support-for-women/?searchLocation=Toronto&topicPath=88&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,ID (identification)
Prisoners HIV / AIDS Support Action Network,https://211ontario.ca/service/69800163/prisoners-hiv--aids-support-action-network-prisoners-hivaids-support-action-network/?searchLocation=Toronto&topicPath=88&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,ID (identification)
Regent Park Community Health Centre,https://211ontario.ca/service/93013944/regent-park-community-health-centre-health-card-kiosk-and-identification-replacement-clinic/?searchLocation=Toronto&topicPath=88&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,ID (identification)
The Neighbourhood Group Community Services,https://211ontario.ca/service/69797532/the-neighbourhood-group-community-services-homelessness-services/?searchLocation=Toronto&topicPath=88&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Government / Legal,ID (identification)
